1,Lander,USW00024021,42.8153,-108.7261,LANDER WBO,1892-01-01,5/28/1946
2,Lander,USW00024021,42.8153,-108.7261,LANDER HUNT FIELD,5/29/1946,12/31/2021
3,Cheyenne,USW00024018,41.1519,-104.8061,CHEYENNE WBO,1871-01-01,8/31/1935
4,Cheyenne,USW00024018,41.1519,-104.8061,CHEYENNE MUNICIPAL ARPT,9/1/1935,12/31/2021
5,Wausau,USW00014897,44.9258,-89.6256,Wausau Record Herald,1896-01-01,12/31/1941
6,Wausau,USW00014897,44.9258,-89.6256,Wausau Airport,1/1/1942,12/31/2021
7,Hayward,USW00094973,46.0261,-91.4442,Hayward RS,1894-01-01,3/31/1998
8,Hayward,USW00094973,46.0261,-91.4442,Hayward Muni AP,4/1/1998,12/31/2021
9,EauClaire,USW00014991,44.8664,-91.4878,Eau Claire City,1893-01-01,9/30/1949
10,EauClaire,USW00014991,44.8664,-91.4878,Eau Claire Chippewa Valley Regional Airport,10/1/1949,12/31/2021
11,Ashland,USW00094929,46.5486,-90.9189,Ashland Exp Farm,1894-01-01,10/13/1998
12,Ashland,USW00094929,46.5486,-90.9189,Ashland Kennedy Mem AP,10/14/1998,12/31/2021
13,Milwaukee,USW00014839,42.955,-87.9044,MILWAUKEE WBO,1871-01-01,2/28/1941
14,Milwaukee,USW00014839,42.955,-87.9044,MILWAUKEE MITCHELL INTL AP,3/1/1941,12/31/2021
15,Madison,USW00014837,43.1406,-89.3453,MADISON WB CITY,1869-01-01,12/31/1946
16,Madison,USW00014837,43.1406,-89.3453,MADISON DANE CO REGIONAL ARPT,1/1/1947,12/31/2021
17,LaCrosse,USW00014920,43.8789,-91.2528,LA CROSSE,1873-01-01,12/31/1950
18,LaCrosse,USW00014920,43.8789,-91.2528,LA CROSSE MUNICIPAL AP,1/1/1951,9/30/1985
19,LaCrosse,USW00014920,43.8789,-91.2528,LA CROSSE,10/1/1985,1/31/1986
20,LaCrosse,USW00014920,43.8789,-91.2528,LA CROSSE MUNICIPAL AP,2/1/1986,12/31/2021
21,GreenBay,USW00014898,44.4983,-88.1111,GREEN BAY AUSTIN STRAUBEL INTL,1897-01-01,12/31/2021
22,Bluefield,USW00003859,37.2958,-81.2078,Bluefield 2NW,1892-01-01,8/31/1959
23,Bluefield,USW00003859,37.2958,-81.2078,Bluefield Mercer County Airport,9/1/1959,12/31/2021
24,Morgantown,USW00013736,39.6428,-79.9164,Morgantown 1,1873-01-01,7/31/1946
25,Morgantown,USW00013736,39.6428,-79.9164,Morgantown-Hart Field,8/1/1946,12/31/2021
26,Wheeling,USW00014894,40.1764,-80.6472,Wellsburg Water Treatment Plant,1879-01-01,7/31/1948
27,Wheeling,USW00014894,40.1764,-80.6472,Wheeling Ohio County Airport,8/1/1948,12/31/2021
28,Huntington,USW00003860,38.365,-82.555,HUNTINGTON 1,1892-01-01,3/31/1941
29,Huntington,USW00003860,38.365,-82.555,CHESAPEAKE HUNTINGTON AP,4/1/1941,12/31/1960
30,Huntington,USW00003860,38.365,-82.555,HUNTINGTON TRI-STATE ARPT,1/1/1961,12/31/2021
31,Charleston,USW00013866,38.3794,-81.59,CHARLESTON 1,1893-01-01,4/1/1937
32,Charleston,USW00013866,38.3794,-81.59,INSTITUTE WERTZ FIELD,4/2/1937,11/30/1947
33,Charleston,USW00013866,38.3794,-81.59,CHARLESTON YEAGER ARPT,12/1/1947,12/31/2021
34,Beckley,USW00003872,37.7836,-81.1231,BECKLEY VA HOSPITAL,1894-01-01,4/30/1963
35,Beckley,USW00003872,37.7836,-81.1231,BECKLEY RALEIGH CO MEM AP,5/1/1963,12/31/2021
36,Vancouver,USW00094298,45.6208,-122.6572,Vancouver 4NNE,1856-01-01,9/14/1996
37,Vancouver,USW00094298,45.6208,-122.6572,Vancouver Pearson AP,9/15/1996,12/31/2021
38,Pullman,USW00094129,46.7439,-117.1086,Pullman Exp Stn,1893-01-01,12/31/1949
39,Pullman,USW00094129,46.7439,-117.1086,Pullman 2 NW,1/1/1950,6/6/1998
40,Pullman,USW00094129,46.7439,-117.1086,Pullman Moscow Rgnl AP,6/7/1998,12/31/2021
41,TriCities,USW00024163,46.2667,-119.1167,Kennewick,1895-01-01,3/31/1998
42,TriCities,USW00024163,46.2667,-119.1167,Pasco Tri Cities AP,4/1/1998,12/31/2021
43,Spokane,USW00024157,47.6217,-117.5281,SPOKANE INTERNATIONAL AP,1882-01-01,12/31/2021
44,Seattle,USW00024233,47.4444,-122.3139,SEATTLE CITY OFFICE,1894-01-01,12/31/1944
45,Seattle,USW00024233,47.4444,-122.3139,SEATTLE SEATTLE-TACOMA INTL AP,1/1/1945,12/31/2021
46,Richmond,USW00013740,37.505,-77.3203,RICHMOND CHIMBORAZO,1887-01-01,12/31/1929
47,Richmond,USW00013740,37.505,-77.3203,RICHMOND INTERNATIONAL AP,1/1/1930,12/31/2021
48,NorfolkVA,USW00013737,36.9033,-76.1922,NORFOLK WBO,1874-01-01,12/31/1945
